us-west-2,c4.8xlarge,Linux/UNIX,1.591
eu-central-1,x1.32xlarge,Linux/UNIX,18.674
ap-southeast-2,r3.large,Linux/UNIX,0.2
us-east-1,m2.2xlarge,Linux/UNIX,0.49
ap-southeast-1,r4.4xlarge,Linux/UNIX,1.28
us-west-1,m4.16xlarge,Linux/UNIX,4.022
us-west-2,g2.8xlarge,Linux/UNIX,2.6
ap-southeast-2,i3.xlarge,Linux/UNIX,0.374
ap-northeast-2,i2.2xlarge,Linux/UNIX,2.001
us-west-1,r4.xlarge,Linux/UNIX,0.2964
sa-east-1,m4.xlarge,Linux/UNIX,0.343
ap-northeast-1,m3.2xlarge,Linux/UNIX,0.77
sa-east-1,i3.16xlarge,Linux/UNIX,9.152
ap-northeast-1,c4.2xlarge,Linux/UNIX,0.504
ap-northeast-1,g2.8xlarge,Linux/UNIX,3.592
ap-southeast-1,m3.medium,Linux/UNIX,0.098
ap-southeast-2,c3.large,Linux/UNIX,0.132
us-west-1,c3.large,Linux/UNIX,0.12
eu-west-1,r4.16xlarge,Linux/UNIX,4.7424
ap-northeast-2,c4.4xlarge,Linux/UNIX,0.907
ap-northeast-2,d2.2xlarge,Linux/UNIX,1.688
us-west-2,t2.nano,Linux/UNIX,0.0059
eu-central-1,i2.2xlarge,Linux/UNIX,2.026
eu-west-1,m3.2xlarge,Linux/UNIX,0.585
eu-west-1,d2.xlarge,Linux/UNIX,0.735
ap-northeast-1,c4.4xlarge,Linux/UNIX,1.008
us-west-2,p2.16xlarge,Linux/UNIX,14.4
us-west-2,c4.large,Linux/UNIX,0.1
ap-southeast-2,c4.4xlarge,Linux/UNIX,1.042
us-west-2,i2.xlarge,Linux/UNIX,0.853
us-west-2,m1.large,Linux/UNIX,0.175
ap-northeast-1,r3.8xlarge,Linux/UNIX,3.192
sa-east-1,r3.xlarge,Linux/UNIX,0.7
ap-south-1,d2.xlarge,Linux/UNIX,0.827
ap-northeast-2,c3.4xlarge,Linux/UNIX,0.919
ap-southeast-1,t2.large,Linux/UNIX,0.12
us-west-2,r4.8xlarge,Linux/UNIX,2.128
eu-central-1,m4.10xlarge,Linux/UNIX,2.565
ap-southeast-1,r4.large,Linux/UNIX,0.16
us-east-1,t1.micro,Linux/UNIX,0.02
eu-west-1,m2.xlarge,Linux/UNIX,0.275
ap-northeast-1,m4.large,Linux/UNIX,0.139
us-west-1,d2.xlarge,Linux/UNIX,0.781
ap-south-1,t2.small,Linux/UNIX,0.03
us-east-1,m1.small,Linux/UNIX,0.044
us-west-1,g2.8xlarge,Linux/UNIX,2.808
us-west-2,x1.32xlarge,Linux/UNIX,13.338
ap-northeast-1,c3.xlarge,Linux/UNIX,0.255
ap-northeast-1,m1.xlarge,Linux/UNIX,0.486
sa-east-1,m1.medium,Linux/UNIX,0.117
us-west-2,i3.2xlarge,Linux/UNIX,0.624
us-west-2,m4.xlarge,Linux/UNIX,0.215
ap-northeast-2,d2.8xlarge,Linux/UNIX,6.752
us-east-1,m2.4xlarge,Linux/UNIX,0.98
us-east-1,t2.large,Linux/UNIX,0.094
ap-northeast-2,r4.8xlarge,Linux/UNIX,2.56
ap-northeast-1,t1.micro,Linux/UNIX,0.026
us-east-1,i2.2xlarge,Linux/UNIX,1.705
eu-west-1,c3.4xlarge,Linux/UNIX,0.956
ap-south-1,c4.large,Linux/UNIX,0.11
sa-east-1,m3.large,Linux/UNIX,0.19
us-east-1,m4.4xlarge,Linux/UNIX,0.862
ap-northeast-1,c4.8xlarge,Linux/UNIX,2.016
ap-southeast-2,r4.16xlarge,Linux/UNIX,5.1072
us-east-1,i2.4xlarge,Linux/UNIX,3.41
us-east-1,i3.4xlarge,Linux/UNIX,1.248
eu-west-1,x1.32xlarge,Linux/UNIX,16.006
ap-southeast-1,t2.xlarge,Linux/UNIX,0.24
us-west-2,c1.medium,Linux/UNIX,0.13
ap-southeast-1,r4.xlarge,Linux/UNIX,0.32
sa-east-1,c4.xlarge,Linux/UNIX,0.309
ap-northeast-1,m3.xlarge,Linux/UNIX,0.385
ap-southeast-2,i3.2xlarge,Linux/UNIX,0.748
us-east-1,r4.2xlarge,Linux/UNIX,0.532
us-west-1,m1.large,Linux/UNIX,0.19
ap-southeast-1,m2.4xlarge,Linux/UNIX,1.183
eu-west-1,c1.xlarge,Linux/UNIX,0.592
ap-southeast-2,r4.2xlarge,Linux/UNIX,0.6384
ap-southeast-1,r4.2xlarge,Linux/UNIX,0.64
eu-central-1,g2.8xlarge,Linux/UNIX,3.088
ap-northeast-2,c4.xlarge,Linux/UNIX,0.227
ap-northeast-2,c4.8xlarge,Linux/UNIX,1.815
ap-south-1,c4.xlarge,Linux/UNIX,0.22
us-east-1,d2.4xlarge,Linux/UNIX,2.76
ap-southeast-2,d2.xlarge,Linux/UNIX,0.87
eu-central-1,r3.4xlarge,Linux/UNIX,1.6
eu-west-1,c4.2xlarge,Linux/UNIX,0.453
sa-east-1,r3.2xlarge,Linux/UNIX,1.399
eu-west-1,m4.16xlarge,Linux/UNIX,3.803
us-west-1,i2.8xlarge,Linux/UNIX,7.502
us-east-1,r3.8xlarge,Linux/UNIX,2.66
us-west-1,r4.8xlarge,Linux/UNIX,2.3712
sa-east-1,t2.large,Linux/UNIX,0.162
ap-south-1,r4.16xlarge,Linux/UNIX,4.864
ap-southeast-2,r3.2xlarge,Linux/UNIX,0.798
ap-southeast-2,m1.medium,Linux/UNIX,0.117
us-east-1,i3.8xlarge,Linux/UNIX,2.496
sa-east-1,m4.10xlarge,Linux/UNIX,3.425
ap-southeast-1,i2.xlarge,Linux/UNIX,1.018
sa-east-1,m4.4xlarge,Linux/UNIX,1.37
ap-southeast-2,c4.8xlarge,Linux/UNIX,2.085
ap-northeast-1,m4.2xlarge,Linux/UNIX,0.556
ap-northeast-2,r3.xlarge,Linux/UNIX,0.399
sa-east-1,m2.2xlarge,Linux/UNIX,0.645
eu-central-1,t2.small,Linux/UNIX,0.027
eu-central-1,c4.4xlarge,Linux/UNIX,0.909
ap-northeast-1,c3.large,Linux/UNIX,0.128
us-west-2,r4.4xlarge,Linux/UNIX,1.064
eu-central-1,r4.large,Linux/UNIX,0.16005
ap-southeast-1,c4.large,Linux/UNIX,0.115
us-west-1,c3.8xlarge,Linux/UNIX,1.912
ap-southeast-1,t2.nano,Linux/UNIX,0.0075
ap-southeast-1,g2.2xlarge,Linux/UNIX,1
eu-central-1,t2.2xlarge,Linux/UNIX,0.432
us-west-2,m4.16xlarge,Linux/UNIX,3.447
us-west-2,t2.small,Linux/UNIX,0.023
ap-northeast-2,m3.2xlarge,Linux/UNIX,0.732
us-east-1,c4.4xlarge,Linux/UNIX,0.796
ap-southeast-2,m4.16xlarge,Linux/UNIX,4.305
us-east-1,i3.16xlarge,Linux/UNIX,4.992
eu-west-1,x1.16xlarge,Linux/UNIX,8.003
us-west-1,i3.4xlarge,Linux/UNIX,1.376
ap-southeast-2,t2.medium,Linux/UNIX,0.064
eu-west-1,d2.4xlarge,Linux/UNIX,2.94
us-west-1,m4.2xlarge,Linux/UNIX,0.503
us-east-1,t2.xlarge,Linux/UNIX,0.188
eu-central-1,i2.xlarge,Linux/UNIX,1.013
us-west-2,m1.medium,Linux/UNIX,0.087
sa-east-1,c3.xlarge,Linux/UNIX,0.325
us-west-1,m2.4xlarge,Linux/UNIX,1.1
ap-south-1,i3.4xlarge,Linux/UNIX,1.416
ap-southeast-2,r3.xlarge,Linux/UNIX,0.399
ap-southeast-1,c4.xlarge,Linux/UNIX,0.231
eu-west-1,t2.nano,Linux/UNIX,0.0063
ap-northeast-1,c3.4xlarge,Linux/UNIX,1.021
ap-southeast-1,i3.4xlarge,Linux/UNIX,1.496
eu-central-1,t2.micro,Linux/UNIX,0.014
eu-central-1,r3.xlarge,Linux/UNIX,0.4
ap-northeast-1,i2.8xlarge,Linux/UNIX,8.004
ap-northeast-2,r3.4xlarge,Linux/UNIX,1.596
ap-south-1,r3.8xlarge,Linux/UNIX,3.032
us-west-1,m1.small,Linux/UNIX,0.047
eu-central-1,i2.8xlarge,Linux/UNIX,8.102
us-west-2,m1.xlarge,Linux/UNIX,0.35
us-east-1,c4.2xlarge,Linux/UNIX,0.398
eu-central-1,d2.8xlarge,Linux/UNIX,6.352
sa-east-1,r3.8xlarge,Linux/UNIX,5.597
us-west-1,c4.large,Linux/UNIX,0.124
ap-northeast-2,i2.4xlarge,Linux/UNIX,4.002
sa-east-1,c4.4xlarge,Linux/UNIX,1.235
ap-northeast-1,hi1.4xlarge,Linux/UNIX,3.276
ap-south-1,r3.4xlarge,Linux/UNIX,1.516
ap-northeast-2,i3.2xlarge,Linux/UNIX,0.732
ap-northeast-2,t2.small,Linux/UNIX,0.032
us-west-2,d2.4xlarge,Linux/UNIX,2.76
sa-east-1,c4.large,Linux/UNIX,0.155
eu-west-1,c4.large,Linux/UNIX,0.113
ap-southeast-1,d2.4xlarge,Linux/UNIX,3.48
eu-west-1,m1.medium,Linux/UNIX,0.095
us-east-1,m3.2xlarge,Linux/UNIX,0.532
ap-southeast-1,i2.4xlarge,Linux/UNIX,4.07
us-east-1,m3.medium,Linux/UNIX,0.067
ap-northeast-2,t2.micro,Linux/UNIX,0.016
ap-southeast-2,t1.micro,Linux/UNIX,0.02
ap-northeast-1,m3.large,Linux/UNIX,0.193
eu-central-1,r4.xlarge,Linux/UNIX,0.3201
ap-south-1,x1.32xlarge,Linux/UNIX,18.374
ap-southeast-1,i3.16xlarge,Linux/UNIX,5.984
ap-southeast-2,i2.4xlarge,Linux/UNIX,4.07
us-west-2,x1.16xlarge,Linux/UNIX,6.669
us-west-1,m3.large,Linux/UNIX,0.154
ap-south-1,m4.large,Linux/UNIX,0.132
ap-northeast-1,x1.16xlarge,Linux/UNIX,9.671
ap-south-1,d2.4xlarge,Linux/UNIX,3.306
ap-southeast-2,m3.medium,Linux/UNIX,0.093
us-west-2,t1.micro,Linux/UNIX,0.02
ap-northeast-1,t2.xlarge,Linux/UNIX,0.256
eu-west-1,r4.4xlarge,Linux/UNIX,1.1856
us-east-1,c3.xlarge,Linux/UNIX,0.21
us-west-1,m4.4xlarge,Linux/UNIX,1.005
us-west-2,i3.4xlarge,Linux/UNIX,1.248
ap-southeast-1,m3.xlarge,Linux/UNIX,0.392
us-west-2,c1.xlarge,Linux/UNIX,0.52
ap-southeast-2,t2.micro,Linux/UNIX,0.016
us-west-1,t2.nano,Linux/UNIX,0.0077
sa-east-1,m4.large,Linux/UNIX,0.171
ap-southeast-1,m4.large,Linux/UNIX,0.134
ap-northeast-2,i2.xlarge,Linux/UNIX,1.001
